M-V pin#,Name,State,Year,Boat,Event
842,James Kerr,WA,2017.0,LM4x,2017 World Rowing Championships
843,Hamish Parry,QLD,2017.0,LM4x,2017 World Rowing Championships
844,Darcy Wruck,QLD,2017.0,M2+,2017 World Rowing Championships
845,Angus Widdicombe,VIC,2017.0,M2+,2017 World Rowing Championships
846,James Rook,VIC,2017.0,M2+,2017 World Rowing Championships
847,Hamish Playfair,NSW,2017.0,M8+,2017 World Rowing Championships
848,Nathan Bowden,SA,2017.0,M8+,2017 World Rowing Championships
849,Benjamin Coombs,VIC,2017.0,M8+,2017 World Rowing Championships
850,Timothy Masters,VIC,2017.0,M8+,2017 World Rowing Championships
851,Simon Keenan,VIC,2017.0,M8+,2017 World Rowing Championships
852,Campbell Watts,NSW,2017.0,M8+,2017 World Rowing Championships
853,Alexander Purnell,NSW,2017.0,M8+,2017 World Rowing Championships
854,Addy Dunkley-Smith,VIC,2018.0,W2-,2018 World Rowing Championships
855,Georgina Gotch,NSW,2018.0,W8+,2018 World Rowing Championships
856,Georgina Rowe,NSW,2018.0,W8+,2018 World Rowing Championships
857,Annabelle McIntyre,WA,2018.0,W8+,2018 World Rowing Championships
858,Ciona Wilson,TAS,2018.0,W8+,2018 World Rowing Championships
859,Jacinta Edmunds,QLD,2018.0,W8+,2018 World Rowing Championships
860,Emma Fessey,NSW,2018.0,W8+,2018 World Rowing Championships|-
861,Andrew Judge,NSW,2018.0,M2-,2018 World Rowing Championships
862,Joseph O'Brien,NSW,2018.0,M2-,2018 World Rowing Championships
863,Caleb Antill,ACT,2018.0,M4x,2018 World Rowing Championships
864,Liam Donald,VIC,2018.0,M8+,2018 World Rowing Championships
865,Robert Black,NSW,2018.0,M8+,2018 World Rowing Championships
866,Kendall Brodie,NSW,2018.0,M8+,2018 World Rowing Championships
867,James Talbot,NSW,2018.0,PR3 M2-,2018 World Rowing Championships
868,Jed Altschwager,SA,2018.0,PR3 M2-,2018 World Rowing Championships
869,Nikki Ayers,ACT,2018.0,PR3 Mix4+,2018 World Rowing Championships
870,Alex Vuillermin,VIC,2018.0,PR3 Mix4+,2018 World Rowing Championships
871,Amanda Bateman,VIC,2019.0,W2x,2019 World Rowing Championships
872,Renae Domaschenz,ACT,2018.0,PR3 Mix4+,2018 World Rowing Championships
873,Ben Gibson,NSW,2018.0,PR3 Mix4+,2018 World Rowing Championships
874,Fiona Ewing,NSW,2019.0,W4x,2019 World Rowing Championships
875,Cara Grzeskowiak,ACT,2019.0,W4x,2019 World Rowing Championships
876,Bronwyn Cox,WA,2019.0,W8+,2019 World Rowing Championships
877,Sean Murphy,NSW,2019.0,LM1x,2019 World Rowing Championships
878,Leon Chambers,NSW,2019.0,LM2x,2019 World Rowing Championships
879,David Bartholot,NSW,2019.0,M2x,2019 World Rowing Championships
880,Sam Hardy,NSW,2019.0,M2-,2019 World Rowing Championships
881,Alexandra Viney,VIC,2019.0,PR3 Mix4+,2019 World Rowing Championships
882,William Smith,SA,2019.0,PR3 M2-,2019 World Rowing Championships
883,Tara Rigney,NSW,2021.0,W2x,2021 Tokyo Olympics
884,Ria Thompson,VIC,2021.0,W4x,2021 Tokyo Olympics
885,Harriet Hudson,NSW,2021.0,W4x,2021 Tokyo Olympics
886,Giorgia Patten,WA,2021.0,W8+,2021 Tokyo Olympics
887,Jack Cleary,WA,2021.0,M4x,2021 Tokyo Olympics
888,Nicholas Lavery,VIC,2021.0,M8+,2021 Tokyo Olympics
889,Angus Dawson,SA,2021.0,M8+,2021 Tokyo Olympics
890,Stuart Sim,VIC,2021.0,M8+,2021 Tokyo Olympics
891,Simon Albury,SA,2021.0,PR2 Mix2x,2020 Tokyo Paralympics
892,Tom Birtwhistle,,2021.0,PR3 Mix4+,2020 Tokyo Paralympics
893,Anneka Reardon,TAS,2022.0,WLW2X,2022 World Rowing Championships
894,Lucy Coleman,QLD,2022.0,WLW2X,2022 World Rowing Championships
895,Eliza Gaffney,VIC,2022.0,W2-,2022 World Rowing Championships
896,Georgie Gleeson,VIC,2022.0,W2-,2022 World Rowing Championships
897,Kathryn Rowan,QLD,2022.0,W4X,2022 World Rowing Championships
900,Paige Barr,VIC,2022.0,W8+,2022 World Rowing Championships
901,Jacqueline Swick,WA,2022.0,W8+,2022 World Rowing Championships
,Ella Bramwell,SA,2022.0,W8+,2022 World Rowing Championships
,Eleanor Price,NSW,2022.0,W8+,2022 World Rowing Championships
,Talia Barnet-Hepples,NSW,2022.0,W8+,2022 World Rowing Championships
,Harley Moore,QLD,2022.0,M2-,2022 World Rowing Championships
,Hamish Harding,ACT,2022.0,MLW1X,2022 World Rowing Championships
905,Oscar McGuinness,SA,2022.0,MLW2X,2022 World Rowing Championships
,Rohan Lavery,VIC,2022.0,M8+,2022 World Rowing Championships
,Henry Youl,TAS,2022.0,M8+,2022 World Rowing Championships
909,Ben Canham,VIC,2022.0,M8+,2022 World Rowing Championships
,William O'Shannessy,NSW,2022.0,M8+,2022 World Rowing Championships
,Jackson Kench,NSW,2022.0,M8+,2022 World Rowing Championships
,Jean Mitchell,VIC,2022.0,W8+,2022 World Rowing Championships
,Jessica Gallagher,VIC,2022.0,PR3Mix4+,2022 World Rowing Championships
,Nicholas Neales,ACT,2022.0,PRM2-,2022 World Rowing Championships
,Alex Rossi,WA,2023.0,M1X,2023 World Rowing Championships
,Fergus Hamilton,VIC,2023.0,M2-,2023 World Rowing Championships
,Cormac Kennedy-Leverett,QLD,2023.0,M2X,2023 World Rowing Championships
,Laura Gourley,NSW,2023.0,W2X,2023 World Rowing Championships
,Patrick Holt,QLD,2023.0,M8+,2023 World Rowing Championships
,James Daniel Robertson,VIC,2023.0,M8+,2023 World Rowing Championships
,Lily Alton-Triggs,QLD,2023.0,W8,2023 World Rowing Championships
,Hayley Verbunt,VIC,2023.0,W8+,2023 World Rowing Championships
